币种,现货收益U,空单成本U,毛利润U,交易成本U,净收益U,成本率,空单收益U
WLFI,625.0,-362.5,262.5,192.5,500.9,9.6%,
SOMI,658.53,-380.64,277.89,60.5,217.39,2.8%,
BTR,-51.28,,161.56,38.0,123.56,1.9%,212.84
ARIA,0.0,,0.0,0.0,0.0,0%,0.0
MITO,-28.57,,97.16,40.0,81.49,2.0%,125.73
PTB,645.16,-370.96,274.2,48.0,226.2,2.4%,
TAKE,-28.57,,97.16,40.0,57.16,2.0%,125.73
M,2222.0,-371.0,1851.0,75.0,1776.0,3.8%,
